S no,pathname,storyname,Thumbnail,substory1,product1,substory2,product2,substory3,product3,substory4,product4,substory5,product5,substory6,product6,substory7,product7
1,,Short Nighty,https://drive.google.com/file/d/1dfnE_c5P5PtEiTkB3Sncb7lJPSu8U3Ei/view?usp=drivesdk,https://drive.google.com/file/d/1jIZ7X5HTREZiFzAKq8yaw-HW4f4gSGGv/view?usp=drivesdk,hosiery-cotton-short-nighty-plus-size-baby-pink,https://drive.google.com/file/d/16EWs8rbGfCRJOP9GcBCcowdj7tF00g-e/view?usp=drivesdk,hosiery-cotton-short-nighty-plus-size-teal,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,,Long-T-shirt, https://drive.google.com/file/d/1FmWXzrp0KyLiKJ-Oo8g9B0KERiP8Z7M7/view?usp=drivesdk,https://drive.google.com/file/d/14_ehyB5D_Exbl7BP3oxniOyywi-IOKGW/view?usp=drivesdk,"hosiery-cotton-plus-size-t-shirt-with-pockets-green               ,                    hosiery-cotton-plus-size-t-shirt-with-pockets",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,,Dress,https://drive.google.com/file/d/1f3dqBNRqrw_iHrpsuK5YWJjow8e2obcM/view?usp=drivesdk,https://drive.google.com/file/d/141LYwBZOU3MXHOz_cB2AMB3j_3b-StHf/view?usp=drivesdk,polyester-v-neck-dress-matte-pink,https://drive.google.com/file/d/1yfqDE0iE6XDWIkZl-MmUnS--0iHAznh7/view?usp=drivesdk,linen-collared-neck-dress-brown,https://drive.google.com/file/d/1sJYzeETLjsPnWexngX10UXSrtCUpfACz/view?usp=drivesdk,nylon-round-neck-dress-black,https://drive.google.com/file/d/1l3XnBkIlLkgYBGEG4OdB4Ocva-E84Xhk/view?usp=drivesdk,polyester-floral-printed-dress-black,,,,,,
,,,,,,,,,,,,,,,,,
4,,Tops, https://drive.google.com/file/d/1f3dqBNRqrw_iHrpsuK5YWJjow8e2obcM/view?usp=drivesdk,https://drive.google.com/file/d/1hNAAyQizj86UoRFvnes7RlijUcVvAJ0y/view?usp=drivesdk,"cotton-blend-top-v-neck-peach                    ,                         cotton-blend-top-v-neck-blue",https://drive.google.com/file/d/1aT1iH99JDbv2q6JGbZ72y7x67Dd2rLRy/view?usp=drivesdk,cotton-blend-top-mandarin-neck-green,https://drive.google.com/file/d/18ejz2mNsJ2R_o4T7jda4rrrOgka54a8j/view?usp=drivesdk,rayon-top-adjustable-lace-neck-rust,https://drive.google.com/file/d/1S2faQWZvFjfFf78zu6sHEM0VTRpJn0CS/view?usp=drivesdk,viscose-top-collar-neck-black,https://drive.google.com/file/d/13YH0yJoQ_tkhc8tEwo2F6auJ_jelMgNx/view?usp=drivesdk,"polyester-blend-top-round-neck-with-zip-magenta-pink                         ,                        polyester-blend-top-round-neck-with-zip-mustard-yellow",https://drive.google.com/file/d/1ZfaTtr9ljv9kQZeTJGdQXCdUIApNLNPk/view?usp=drivesdk,"polyester-blend-top-round-neck-bottle-green                        ,                      polyester-blend-top-round-neck-maroon",,
,,,,,,,,,,,,,,,,,
5,,BottomWear, https://drive.google.com/file/d/1GmNPXP0h_wYwx53vLjXD1sLDYeXFSukx/view?usp=drivesdk,https://drive.google.com/file/d/1RJy19XXlVniNlY6eycAC58XgtipY5j9y/view?usp=drivesdk,"rayon-plus-size-palazzo-pants-peach ,                         rayon-plus-size-palazzo-pants-denim-blue",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,/collections/designer-nighties,,,,,,,,,,,,,,,,
1,,New Arrivals,https://drive.google.com/file/d/1pWD2-UdMCMVbZ6BitRuzFmS4H41ELWpX/view?usp=drivesdk,https://drive.google.com/file/d/16LYi_xwOBnoshywO-TrrO94m10HsLqJ9/view?usp=drivesdk,"satin-designer-nighty-pink                    ,                           viscose-designer-nighty-maroon              ,          rayon-designer-nighty-lavender",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,,Alpine,https://drive.google.com/file/d/1OSpnCCw0O-uK5_NmV2f2ea0a2UclM8de/view?usp=drive_link,https://drive.google.com/file/d/1-xdU4KTWeNGr07yB3kRcEPBxJKY3zTYY/view?usp=drivesdk,"alpine-designer-maxi-rama-blue-nighty                      ,                                 alpine-designer-nighty-navy-blue-1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,,Satin, https://drive.google.com/file/d/1x-0OAo0j7vcB6OpU5QdZoiW91BKbKT_Z/view?usp=drivesdk,https://drive.google.com/file/d/1e1ZrUMnOB6ET1x3U-g_lA_P5-K3DYAqU/view?usp=drivesdk,"satin-luxury-robe-with-long-gown-cherry                  ,                    satin-designer-grey-blue-nighty",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,,Crush,https://drive.google.com/file/d/1MUmbUmXQ7VIy5CnfbSau_dN27RLGMlgc/view?usp=drivesdk,https://drive.google.com/file/d/16sMn2yWzv28Rag2cQW02vxY1P_lV1qfW/view?usp=drivesdk,crush-designer-nighty-peach,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5,,DENIM,https://drive.google.com/file/d/1X0G389vAHjLVdj-F8L0lCE5222bDCabo/view?usp=drivesdk,https://drive.google.com/file/d/1HUI-wmm0ZSY0IGQg5nZ0WNNl_9GNyWHM/view?usp=drivesdk,"denim-designer-nighty-spiral-puff-dark-blue                                ,                              denim-designer-nighty-flower-embroidery-sky-blue",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,/collections/maternity,,,,,,,,,,,,,,,,
1,,maternity,https://drive.google.com/file/d/1z792JJym8el62EbU7-EbMWmwdtiwl0-B/view?usp=drivesdk,https://drive.google.com/file/d/1ImP6oE10sxEFNkPyzwlHdoihBrpGodlG/view?usp=drivesdk,"rayon-maternity-feeding-dress-purple                          ,                         maroon-hosiery-cotton-maternity-feeding-top",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,/collections/daily-drapes,,,,,,,,,,,,,,,,
1,,Co-ords,https://drive.google.com/file/d/1D4SVKdPM_ZT7xYaeOzylCsoVC1fSEDoy/view?usp=drivesdk,https://drive.google.com/file/d/1qP7HmIbfB0EUEAiEzAb51PMcnqFnFTBM/view?usp=drivesdk,"rayon-round-neck-pyjama-set-dark-red            ,                           rayon-co-ords-set-dark-blue",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,,HOUSE COAT,https://drive.google.com/file/d/1mkhbqtMtUmJCsqvoqxigmi-47Q78nyFU/view?usp=drivesdk,https://drive.google.com/file/d/1L8eHDpxS6T-1EOpdvLQMyX2v_fvX0HYx/view?usp=drivesdk,viscose-blend-house-coat-navy-blue,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,/collections/jogger-set,,,,,,,,,,,,,,,,
1,,Joggers,https://drive.google.com/file/d/1c8RPtdxRoGD5f4ictjUp91CrMeERlbeN/view?usp=drivesdk,https://drive.google.com/file/d/1Yf6ubyhYufZ5kDOrZEc3pQv_g3HuTqx0/view?usp=drivesdk,peach-hosiery-cotton-winter-track-suit,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
